Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
84,169,26-05-2023,8,188.56
137,301,23-01-2023,10,216.6
216,261,27-05-2024,6,85.5
433,343,25-11-2023,7,301.21
14,431,26-07-2023,7,136.36
439,119,11-10-2024,5,249.4
195,467,23-10-2023,6,82.92
32,159,07-05-2024,4,144.84
109,407,04-01-2024,9,379.71
94,122,09-07-2024,4,123
131,206,16-10-2023,1,38.01
454,3,17-06-2024,2,31.5
420,180,08-06-2023,5,125.45
454,319,24-08-2023,2,85.22
127,479,10-01-2023,6,229.62
412,196,06-10-2023,8,53.52
462,481,20-03-2023,5,52.75
377,101,07-08-2024,4,193.96
496,60,17-11-2023,9,316.26
195,67,14-07-2023,1,10.23
356,287,05-12-2024,3,120.57
177,427,10-06-2024,3,54
119,301,04-08-2023,3,64.98
266,192,10-07-2023,3,145.11
265,250,25-05-2023,10,126.5
294,407,11-06-2023,1,42.19
310,156,03-12-2024,1,31.68
151,423,27-11-2024,8,205.04
305,446,05-10-2023,8,275.92
438,248,23-09-2023,6,281.94
386,279,12-03-2024,8,244
292,313,06-12-2024,4,188.64
478,253,15-04-2024,5,58.3
463,146,27-06-2024,3,43.5
303,172,08-07-2023,5,184.1
417,260,21-01-2024,9,446.31
110,411,27-12-2023,4,60.12
15,466,26-06-2023,4,148.68
488,422,03-08-2024,8,367.28
120,450,03-07-2024,2,91.5
418,147,05-05-2024,8,361.6
415,70,19-09-2023,3,70.35
199,305,25-03-2024,7,221.62
234,460,24-07-2024,5,179.4
470,67,16-11-2024,4,40.92
319,442,08-12-2023,1,48.48
6,360,23-07-2024,3,148.02
458,477,25-02-2024,5,138.55
322,336,14-08-2024,7,168.56
474,88,06-04-2024,1,40.22
155,491,01-09-2024,5,74.35
173,161,20-05-2024,7,151.2
160,242,02-01-2024,3,101.37
446,393,01-09-2024,3,132
18,281,11-01-2024,7,114.38
76,333,06-11-2024,5,138.8
24,34,02-12-2024,2,32.98
329,369,02-12-2024,7,158.55
225,188,11-02-2023,7,140.98
404,49,26-04-2023,9,445.5
405,361,02-07-2024,5,198.75
364,324,06-04-2024,5,230.4
16,469,13-04-2024,9,209.25
348,160,19-07-2024,10,344.8
54,198,06-05-2023,9,201.42
180,323,08-09-2023,8,286.64
260,129,20-04-2023,9,366.66
246,319,21-03-2023,10,426.1
261,109,23-03-2024,4,34.16
49,447,29-05-2023,6,217.5
500,438,11-06-2024,8,267.12
290,5,19-10-2024,1,10.95
411,81,07-10-2023,1,44.19
461,132,08-04-2023,10,204.6
291,375,30-11-2023,5,170.75
470,466,02-09-2024,10,371.7
497,242,20-03-2024,7,236.53
44,196,23-07-2024,5,33.45
134,28,06-10-2023,2,75.02
265,17,04-06-2023,8,42.96
383,325,13-02-2024,5,202
413,387,08-03-2023,5,237.1
457,335,16-01-2024,8,378.32
280,49,05-07-2024,6,297
75,31,14-03-2023,9,191.07
361,441,28-04-2024,3,122.16
167,435,11-07-2024,2,55.52
126,262,16-04-2023,5,105.1
305,113,06-08-2024,2,12.76
457,137,23-12-2023,6,157.98
226,142,13-10-2024,10,489.6
329,325,24-02-2023,5,202
366,427,23-10-2024,3,54
136,88,06-07-2024,6,241.32
447,426,26-10-2023,1,32.82
456,336,09-08-2023,8,192.64
408,221,15-07-2023,10,248.1
429,352,15-12-2023,1,6.01
166,250,20-04-2023,3,37.95
207,63,14-07-2023,1,22.38
154,344,09-01-2023,1,39.63
295,300,10-05-2023,9,241.83
103,21,07-02-2024,3,141.39
182,316,18-01-2024,9,79.29
125,306,20-12-2022,2,87.84
334,449,07-10-2023,3,120.51
10,330,20-10-2024,6,192.12
281,430,25-05-2024,6,71.4
486,368,19-11-2024,2,89.2
7,16,30-04-2023,1,10.07
174,450,25-08-2024,7,320.25
309,403,28-12-2022,2,30.02
80,255,18-02-2024,3,73.53
362,210,24-02-2024,3,122.79
321,136,23-09-2024,8,79.12
280,447,27-02-2024,5,181.25
385,52,24-01-2023,7,115.71
37,189,14-01-2023,3,40.95
328,148,24-09-2023,3,36.75
101,338,14-01-2023,1,10.17
27,63,28-03-2024,6,134.28
136,56,19-02-2023,6,47.22
495,437,10-03-2024,5,221.45
272,122,17-05-2024,10,307.5
196,43,05-06-2024,4,189.56
88,492,08-12-2023,2,88.14
267,295,24-08-2024,7,200.62
197,345,17-09-2024,6,155.34
364,388,02-08-2023,1,26.62
420,17,13-05-2023,1,5.37
16,1,27-05-2024,3,64.02
469,333,22-11-2023,7,194.32
232,458,13-03-2023,4,149.12
94,222,02-04-2023,7,207.13
174,99,24-01-2024,10,469.3
165,70,31-12-2023,4,93.8
474,471,25-11-2023,8,363.04
59,362,02-12-2023,3,88.29
189,26,31-05-2024,9,189.45
295,164,13-12-2022,1,41.83
107,352,05-05-2023,10,60.1
107,434,08-04-2024,2,91.16
443,201,04-10-2023,7,260.75
432,179,10-11-2024,2,96.42
340,477,10-09-2024,8,221.68
394,404,07-04-2024,4,62.6
277,285,08-10-2024,5,138.25
333,429,16-06-2024,1,42.58
39,56,28-11-2024,4,31.48
389,135,01-01-2024,10,151.3
361,288,27-08-2024,7,195.37
377,213,27-10-2023,5,33.95
484,370,19-02-2024,2,87.82
378,391,12-10-2023,5,167.1
191,397,21-01-2024,6,168.9
176,66,27-05-2024,5,141.45
166,245,24-05-2024,10,160.6
183,225,04-07-2023,3,108.12
174,51,11-09-2024,3,138.9
255,85,27-03-2023,3,58.29
227,42,13-01-2024,5,241.75
295,298,21-05-2023,7,326.62
207,384,23-11-2023,3,101.76
467,184,27-06-2024,9,47.25
382,362,23-09-2024,6,176.58
272,486,17-09-2023,6,114.78
168,442,24-11-2024,3,145.44
324,36,11-01-2023,10,345.1
81,415,04-02-2024,10,295.1
121,77,06-05-2023,10,442.8
364,397,12-01-2023,10,281.5
463,423,20-09-2024,1,25.63
399,61,01-07-2023,5,205.25
34,29,17-12-2023,4,124.48
385,103,12-10-2023,1,43.25
86,479,19-09-2023,6,229.62
378,121,21-08-2024,3,127.41
70,298,03-05-2023,10,466.6
325,52,01-02-2023,9,148.77
460,227,20-01-2023,7,267.19
8,117,18-01-2023,3,44.61
129,293,01-11-2023,7,125.51
335,371,08-06-2024,1,17.4
474,88,30-04-2024,2,80.44
15,25,09-03-2023,6,51.3
167,120,03-04-2023,7,336.21
119,275,30-12-2023,1,25.83
46,425,13-03-2023,1,24.23
107,240,11-07-2024,6,299.4
240,273,02-07-2024,4,49.72
418,390,25-03-2024,1,39.96
144,380,24-06-2024,2,26.34
474,36,31-03-2023,7,241.57
463,340,04-11-2024,5,249.9
437,241,17-07-2023,2,28.12
214,468,03-04-2023,7,214.13
256,32,25-05-2024,10,215.6
373,117,13-06-2023,1,14.87
429,18,30-09-2024,10,394.7
313,303,23-11-2023,1,6.57
67,463,11-10-2023,4,47.96
137,69,17-12-2023,8,70.32
116,110,27-12-2023,4,120.6
47,427,26-05-2023,3,54
279,457,21-03-2023,2,56.44
81,130,19-07-2023,1,6.64
194,461,06-09-2023,1,9.6
13,101,21-05-2024,6,290.94
346,449,03-01-2024,10,401.7
287,223,14-10-2023,6,39.12
397,209,17-01-2024,10,486.7
244,300,20-04-2024,2,53.74
325,447,17-11-2023,7,253.75
103,114,04-09-2024,7,50.96
461,138,17-08-2023,8,198.16
104,428,28-02-2024,4,90.92
414,142,28-12-2022,2,97.92
364,47,13-02-2024,8,162.96
186,157,11-02-2024,9,172.53
376,275,07-07-2023,1,25.83
353,219,10-09-2023,5,104.5
331,157,19-09-2023,10,191.7
213,31,17-12-2022,10,212.3
384,90,19-07-2024,4,66.24
272,115,08-06-2023,4,112.48
437,35,25-01-2024,9,286.29
461,308,04-05-2023,8,166
400,104,07-06-2024,3,31.68
82,482,09-02-2024,7,223.72
307,241,10-09-2023,7,98.42
22,384,11-11-2023,1,33.92
220,229,26-07-2024,5,102.3
403,181,28-04-2024,7,271.11
149,11,21-11-2024,5,179.75
419,459,12-11-2024,3,107.31
375,265,04-11-2024,9,419.4
47,199,15-08-2023,7,299.67
134,280,26-02-2024,6,100.68
132,307,19-09-2023,5,72.15
457,492,30-05-2023,10,440.7
119,69,08-07-2024,6,52.74
416,410,15-06-2023,9,398.97
82,350,02-08-2024,10,316.7
12,380,28-10-2024,3,39.51
386,97,01-11-2023,9,411.66
401,415,14-11-2024,2,59.02
77,142,07-03-2024,10,489.6
312,285,09-09-2023,9,248.85
131,189,15-01-2023,8,109.2
63,65,16-09-2023,9,204.3
109,490,12-12-2023,2,25.76
405,387,15-11-2023,5,237.1
449,273,03-01-2023,3,37.29
99,469,18-07-2023,2,46.5
217,406,19-04-2023,4,143.16
225,174,30-05-2024,9,340.47
123,403,06-11-2023,1,15.01
179,387,08-08-2023,3,142.26
437,77,08-01-2023,2,88.56
112,170,07-05-2024,2,22.56
200,288,25-07-2023,8,223.28
224,376,11-12-2022,6,175.56
260,373,20-08-2024,2,78.18
290,13,29-10-2023,9,126.36
258,100,17-09-2024,9,449.01
167,426,02-06-2023,10,328.2
467,390,30-08-2024,9,359.64
117,56,15-11-2024,9,70.83
8,157,15-03-2024,5,95.85
120,82,13-04-2024,7,319.9
462,40,01-07-2023,1,25.97
228,321,02-11-2024,1,24.32
357,119,14-12-2022,8,399.04
254,120,10-04-2024,2,96.06
495,31,05-01-2023,2,42.46
166,46,16-11-2024,3,99.51
276,292,18-12-2022,1,26.94
111,71,18-11-2024,9,346.5
204,339,13-11-2024,9,391.59
181,377,11-05-2023,8,318.32
23,431,23-11-2024,8,155.84
364,154,22-11-2024,6,104.64
277,471,31-10-2024,8,363.04
325,466,06-01-2023,4,148.68
198,469,30-07-2024,6,139.5
96,264,23-04-2023,2,41.02
74,163,25-06-2023,3,57.33
6,128,13-11-2023,1,24.04
321,491,30-08-2023,2,29.74
31,219,18-08-2024,2,41.8
214,154,15-04-2024,8,139.52
388,432,11-02-2024,4,35.36
96,214,20-01-2024,9,163.44
21,302,01-10-2023,4,114.68
414,269,07-10-2024,5,165.4
181,486,13-09-2023,1,19.13
382,381,27-07-2024,4,42.4
359,73,22-08-2024,10,212.3
189,348,29-07-2024,8,100.96
90,485,09-12-2023,7,162.12
339,346,12-09-2024,4,39.88
348,80,29-02-2024,6,209.04
423,31,12-08-2023,6,127.38
59,229,06-02-2024,9,184.14
107,266,18-12-2023,4,133.16
54,316,28-11-2024,4,35.24
368,133,17-11-2023,1,20.96
499,485,19-02-2023,10,231.6
185,227,29-12-2022,8,305.36
338,334,05-10-2023,3,107.04
198,80,05-03-2024,7,243.88
209,208,23-04-2023,10,250
57,105,11-10-2023,8,240.16
449,127,09-03-2024,1,11.66
281,119,22-03-2023,8,399.04
329,198,30-06-2024,7,156.66
400,88,06-01-2023,10,402.2
353,84,31-01-2024,8,356.72
172,296,27-06-2024,2,22.98
376,363,05-04-2024,8,59.84
114,386,05-08-2023,8,50.88
270,112,08-11-2023,2,16.04
36,412,27-06-2023,6,58.98
306,214,31-01-2023,7,127.12
60,394,10-07-2023,1,27.15
16,149,15-06-2024,6,102.54
247,409,11-07-2024,2,43.12
232,3,19-01-2024,3,47.25
171,171,23-09-2023,5,160.75
265,65,10-01-2023,10,227
429,143,15-07-2023,1,43.65
41,113,25-07-2023,2,12.76
161,407,08-10-2024,1,42.19
193,339,01-03-2024,6,261.06
184,334,05-06-2023,7,249.76
141,371,23-06-2023,9,156.6
230,455,06-12-2023,5,135.15
165,486,13-01-2023,2,38.26
374,491,21-03-2024,10,148.7
460,222,02-03-2023,8,236.72
26,333,06-09-2024,2,55.52
178,462,24-08-2023,1,49.23
75,124,03-01-2023,7,189.7
385,218,25-11-2023,5,26.8
325,253,04-07-2023,2,23.32
122,240,10-03-2024,8,399.2
2,118,23-02-2023,3,16.56
239,158,19-03-2023,7,172.83
159,73,15-04-2023,2,42.46
458,154,09-02-2024,6,104.64
425,219,26-02-2023,8,167.2
178,436,19-03-2023,7,111.3
14,360,03-08-2023,5,246.7
388,225,28-07-2024,2,72.08
437,443,23-10-2023,6,264.3
384,102,01-06-2024,3,120.66
163,150,06-07-2023,9,287.55
474,45,30-01-2023,8,203.92
301,378,23-08-2023,6,36.06
177,442,23-01-2024,2,96.96
415,448,27-07-2023,6,37.56
242,292,29-07-2024,3,80.82
153,91,04-03-2023,2,55.64
357,38,12-05-2024,9,148.23
301,200,28-02-2023,7,69.72
425,231,08-03-2024,6,56.22
497,309,04-04-2023,5,58.7
17,488,17-05-2023,10,491.5
339,156,09-12-2022,1,31.68
462,295,04-02-2024,4,114.64
149,120,23-03-2024,4,192.12
290,57,21-01-2023,3,70.77
428,47,25-10-2024,9,183.33
418,64,28-04-2024,9,216.9
115,58,19-07-2023,3,103.62
360,320,02-03-2023,7,35.49
194,208,03-12-2023,5,125
203,105,25-09-2024,1,30.02
313,135,21-06-2023,7,105.91
465,491,18-09-2024,3,44.61
485,377,22-07-2023,8,318.32
492,333,14-08-2024,1,27.76
145,8,04-04-2023,3,146.97
304,369,26-06-2024,7,158.55
379,110,18-07-2024,9,271.35
226,52,05-05-2023,5,82.65
344,236,20-07-2024,4,43.12
125,232,04-08-2023,6,57.72
485,391,18-11-2023,2,66.84
94,73,01-10-2023,10,212.3
30,330,20-05-2023,8,256.16
336,212,04-07-2024,1,18.69
279,307,24-12-2022,8,115.44
299,425,14-04-2024,1,24.23
159,443,27-05-2024,9,396.45
59,424,09-04-2023,6,243
368,73,19-01-2023,6,127.38
273,334,21-07-2023,9,321.12
318,393,27-12-2022,9,396
239,33,05-04-2024,10,350.6
154,475,06-12-2023,1,47.76
199,323,25-12-2022,8,286.64
98,398,17-11-2024,10,334.1
457,191,02-10-2024,10,421.9
405,149,01-05-2024,5,85.45
438,78,17-02-2023,10,130.7
121,156,14-04-2024,4,126.72
485,299,13-12-2023,4,112.76
184,303,07-09-2024,6,39.42
364,462,01-12-2024,5,246.15
486,208,29-10-2023,8,200
24,103,16-06-2024,5,216.25
158,314,12-07-2023,3,28.77
23,234,10-11-2023,1,7.15
336,10,07-07-2023,1,24.63
149,211,29-12-2023,1,16.19
222,254,29-03-2024,4,170.28
153,372,04-12-2023,2,35.46
330,313,15-05-2023,3,141.48
102,415,03-10-2024,1,29.51
56,183,01-04-2023,5,77
322,176,25-12-2023,8,128.88
11,349,10-01-2024,5,221.8
291,118,16-01-2024,7,38.64
98,308,14-02-2023,6,124.5
98,33,18-02-2024,5,175.3
287,434,11-09-2023,7,319.06
214,175,16-02-2023,10,328.5
449,146,01-11-2023,7,101.5
206,26,26-07-2024,2,42.1
68,276,22-09-2024,1,19.85
420,168,04-11-2023,3,42.39
37,223,01-03-2023,6,39.12
45,83,20-10-2023,10,89.4
13,230,14-04-2023,8,48.8
224,412,17-06-2024,1,9.83
183,360,31-10-2023,6,296.04
304,434,16-08-2024,2,91.16
346,419,20-05-2023,3,27.84
195,343,31-08-2023,9,387.27
269,168,18-03-2024,8,113.04
57,129,20-05-2023,8,325.92
425,108,30-04-2024,10,253.8
155,5,12-12-2022,7,76.65
21,384,16-04-2024,8,271.36
485,380,18-09-2023,3,39.51
379,422,05-08-2023,1,45.91
115,38,21-11-2024,1,16.47
490,222,18-11-2023,1,29.59
451,288,18-05-2023,8,223.28
87,307,04-08-2023,10,144.3
100,412,13-07-2024,1,9.83
22,418,19-04-2023,8,255.04
386,186,14-06-2024,8,330.64
84,409,31-10-2023,2,43.12
331,125,19-02-2024,5,162.05
387,147,17-03-2024,10,452
160,127,19-02-2023,6,69.96
163,422,17-08-2024,10,459.1
445,237,24-05-2023,2,80.86
317,196,18-11-2023,9,60.21
22,282,24-11-2024,3,114.57
174,279,06-07-2024,5,152.5
392,463,20-12-2022,1,11.99
337,414,16-01-2023,7,157.85
498,273,07-12-2024,7,87.01
390,273,22-07-2023,10,124.3
162,237,22-11-2023,6,242.58
158,97,01-01-2024,6,274.44
349,232,30-10-2024,8,76.96
79,7,13-12-2022,5,218.15
145,136,07-08-2023,6,59.34
353,75,19-06-2024,1,47.11
194,138,24-03-2023,9,222.93
284,161,02-03-2023,7,151.2
387,379,02-04-2023,5,28.5
162,454,30-05-2023,7,66.92
423,350,02-08-2024,4,126.68
328,197,26-12-2023,7,301.21
415,146,21-06-2023,7,101.5
405,353,07-07-2023,10,469.7
2,429,31-08-2024,7,298.06
459,202,23-11-2023,10,122.6
500,274,31-08-2023,6,292.8
140,230,04-02-2023,5,30.5
322,110,26-04-2023,2,60.3
102,245,23-12-2023,7,112.42
47,18,23-05-2023,4,157.88
211,471,22-02-2023,5,226.9
173,93,15-02-2023,9,156.87
425,72,14-10-2023,10,465.4
284,120,28-04-2024,10,480.3
475,19,04-11-2024,1,11.31
117,127,23-11-2024,2,23.32
216,497,31-03-2023,3,72.3
53,233,28-09-2024,6,62.34
328,272,25-04-2023,10,51.6
152,406,10-03-2024,2,71.58
140,48,26-08-2023,1,24.7
297,137,17-06-2024,5,131.65
